name,2023-08-24,2023-08-25,2023-08-26,2023-08-27,2023-08-28,2023-08-29,2023-08-30,Last 3 Days,Last 7 Days,unavailable
Eiichi Ishiguro,10,19,12,0,0,0,0,0,41,0
Aureliano Granados,10,16,0,24,20,0,25,45,95,1
Juninho Fuji,0,119,0,0,25,0,0,25,144,0
Brian Hernadez,14,0,0,0,27,0,39,66,80,0
Sandeep Alcantara,0,0,41,56,44,49,0,93,190,1
Maicon Homma,0,59,0,36,31,0,0,31,126,0
Gumaro Solano,0,0,0,0,0,11,0,11,11,0
Fam Moo,31,46,0,0,0,0,0,0,77,0
Avelino Nieves,65,0,15,0,0,10,36,46,126,1
Ignacio Bell,0,0,60,19,60,17,33,110,189,1
Hayato Iwasaki,72,43,28,0,0,44,84,128,271,1
Yuta Nakano,26,0,0,0,13,0,22,35,61,0
Peter Soto,0,0,58,0,50,58,0,108,166,0
Harrison Martin,0,0,0,165,0,27,18,45,210,1
